Tempo_s,Coppia_dx_Nm,RPM_dx,Potenza_dx_W
0.666,-2.24681479305168,-1894.78642004019,445.816518535822
0.667,-2.24681479305168,-1897.57396138779,446.472387696439
0.668,-2.24681479305168,-1900.36102011875,447.128143304169
0.669,-2.24681479305168,-1903.14759447701,447.783784945833
0.67,-2.24681479305168,-1905.93368269993,448.43931220671
0.671,-2.24681479305168,-1908.71928301828,449.094724670524
0.672,-2.24681479305168,-1911.5043936562,449.750021919441
0.673,-2.24681479305168,-1914.28901283117,450.405203534056
0.674,-2.24681479305168,-1917.07313875397,451.060269093393
0.675,-2.24681479305168,-1919.85676962864,451.715218174888
0.676,-2.24681479305168,-1922.63990365246,452.370050354386
0.677,-2.24681479305168,-1925.42253901592,453.024765206133
0.678,-2.24681479305168,-1928.20467390265,453.679362302767
0.679,-2.24681479305168,-1930.98630648944,454.333841215309
0.68,-2.24681479305168,-1933.76743494615,454.988201513156
0.681,-2.24681479305168,-1936.54805743573,455.642442764072
0.682,-2.24681479305168,-1939.32817211412,456.29656453418
0.683,-2.24681479305168,-1942.10777713029,456.950566387953
0.684,-2.24681479305168,-1944.88687062612,457.604447888208
0.685,-2.24681479305168,-1947.66545073644,458.258208596094
0.686,-2.24681479305168,-1950.44351558896,458.911848071085
0.687,-2.24681479305168,-1953.22106330422,459.565365870974
0.688000000000001,-2.24681479305168,-1955.99809199558,460.21876155186
0.689000000000001,-2.24681479305168,-1958.77459976917,460.872034668141
0.690000000000001,-2.24681479305168,-1961.55058472384,461.525184772508
0.691000000000001,-2.24681479305168,-1964.32604495118,462.178211415933
0.692000000000001,-2.24681479305168,-1967.10097853539,462.831114147659
0.693000000000001,-2.24681479305168,-1969.87538355333,463.483892515196
0.694000000000001,-2.24681479305168,-1972.64925807442,464.136546064308
0.695000000000001,-2.24721153146853,-1975.42260016065,464.871145937472
0.696000000000001,-2.24721153146853,-1978.07132163046,465.494462783619
0.697000000000001,-2.24721153146853,-1980.7195406027,466.117661378301
0.698000000000001,-2.24721153146853,-1983.36725527681,466.74074129779
0.699000000000001,-2.24721153146853,-1986.0144638454,467.363702116764
0.700000000000001,-2.24721153146853,-1988.66116449429,467.986543408295
0.701000000000001,-2.24721153146853,-1991.30735540244,468.609264743843
0.702000000000001,-2.24721153146853,-1993.95303474194,469.231865693247
0.703000000000001,-2.24721153146853,-1996.59820067792,469.854345824717
0.704000000000001,-2.24721153146853,-1999.2428513686,470.476704704826
0.705000000000001,-2.24721153146853,-2001.88698496516,471.098941898501
0.706000000000001,-2.24721153146853,-2004.5305996118,471.721056969017
0.707000000000001,-2.24721153146853,-2007.17369344562,472.343049477986
0.708000000000001,-2.24721153146853,-2009.81626459664,472.96491898535
0.709000000000001,-2.24721153146853,-2012.45831118775,473.586665049372
0.710000000000001,-2.24721153146853,-2015.09983133466,474.208287226627
0.711000000000001,-2.24721153146853,-2017.74082314588,474.829785071997
0.712000000000001,-2.24721153146853,-2020.38128472268,475.451158138656
0.713000000000001,-2.24721153146853,-2023.02121415904,476.072405978069
0.714000000000001,-2.24721153146853,-2025.66060954165,476.693528139976
0.715000000000001,-2.24721153146853,-2028.2994689498,477.314524172389
0.716000000000001,-2.24721153146853,-2030.93779045545,477.935393621579
0.717000000000001,-2.24721153146853,-2033.57557212308,478.556136032072
0.718000000000001,-2.24721153146853,-2036.21281200974,479.176750946634
0.719000000000001,-2.24721153146853,-2038.84950816495,479.797237906266
0.720000000000001,-2.24721153146853,-2041.48565863072,480.417596450197
0.721000000000001,-2.24721153146853,-2044.12126144144,481.037826115869
0.722000000000001,-2.24721153146853,-2046.75631462393,481.657926438933
0.723000000000001,-2.24721153146853,-2049.3908161973,482.277896953237
0.724000000000001,-2.24721153146853,-2052.02476417301,482.897737190819
0.725000000000001,-2.24721153146853,-2054.65815655476,483.517446681896
0.726000000000001,-2.24721153146853,-2057.29099133848,484.137024954854
0.727000000000001,-2.24721153146853,-2059.92326651228,484.756471536243
0.728000000000001,-2.24721153146853,-2062.55498005643,485.375785950762
0.729000000000001,-2.24721153146853,-2065.18612994328,485.994967721253
0.730000000000001,-2.24721153146853,-2067.81671413728,486.61401636869
0.731000000000001,-2.24721153146853,-2070.44673059486,487.232931412172
0.732000000000001,-2.24721153146853,-2073.07617726448,487.851712368908
0.733000000000001,-2.24721153146853,-2075.7050520865,488.470358754213
0.734000000000001,-2.24721153146853,-2078.33335299321,489.088870081496
0.735000000000001,-2.24721153146853,-2080.96107790874,489.707245862248
0.736000000000001,-2.24721153146853,-2083.58822474904,490.325485606037
0.737000000000001,-2.24721153146853,-2086.21479142185,490.943588820494
0.738000000000001,-2.24721153146853,-2088.84077582662,491.561555011304
0.739000000000001,-2.24721153146853,-2091.46617585451,492.179383682196
0.740000000000001,-2.24721153146853,-2094.0909893883,492.797074334934
0.741000000000001,-2.24721153146853,-2096.7152143024,493.414626469306
0.742000000000001,-2.24721153146853,-2099.33884846277,494.032039583113
0.743000000000001,-2.24721153146853,-2101.96188972688,494.649313172161
0.744000000000001,-2.24721153146853,-2104.58433594367,495.266446730247
0.745000000000001,-2.24721153146853,-2107.20618495353,495.883439749153
0.746000000000001,-2.24721153146853,-2109.82743458821,496.500291718631
0.747000000000001,-2.24721153146853,-2112.44808267081,497.117002126398
0.748000000000001,-2.24721153146853,-2115.06812701571,497.733570458118
0.749000000000001,-2.24721153146853,-2117.68756542856,498.349996197398
0.750000000000001,-2.24721153146853,-2120.3063957062,498.966278825775
0.751000000000001,-2.24721153146853,-2122.92461563663,499.582417822704
0.752000000000001,-2.24721153146853,-2125.54222299895,500.198412665548
0.753000000000001,-2.24750320441077,-2128.15921556335,500.879265152452
0.754000000000001,-2.24750320441077,-2130.63762620654,501.462578887924
0.755000000000001,-2.24750320441077,-2133.11546366824,502.045757720553
0.756000000000001,-2.24750320441077,-2135.5927258986,502.628801167894
0.757000000000001,-2.24750320441077,-2138.06941083978,503.211708745617
0.758000000000001,-2.24750320441077,-2140.54551642589,503.794479967499
0.759000000000001,-2.24750320441077,-2143.02104058297,504.377114345415
0.760000000000001,-2.24750320441077,-2145.49598122892,504.959611389327
0.761000000000001,-2.24750320441077,-2147.97033627348,505.541970607276
0.762000000000001,-2.24750320441077,-2150.44410361818,506.12419150537
0.763000000000001,-2.24750320441077,-2152.91728115631,506.706273587777
0.764000000000001,-2.24750320441077,-2155.38986677285,507.288216356712
0.765000000000001,-2.24750320441077,-2157.86185834447,507.87001931243
0.766000000000001,-2.24750320441077,-2160.33325373944,508.451681953214
0.767000000000001,-2.24750320441077,-2162.80405081762,509.033203775365
0.768000000000001,-2.24750320441077,-2165.27424743042,509.614584273193
0.769000000000001,-2.24750320441077,-2167.74384142074,510.195822939007
0.770000000000001,-2.24750320441077,-2170.21283062291,510.776919263102
0.771000000000001,-2.24750320441077,-2172.6812128627,511.357872733753
0.772000000000001,-2.24750320441077,-2175.14898595721,511.938682837201
0.773000000000001,-2.24750320441077,-2177.6161477149,512.519349057644
0.774000000000001,-2.24750320441077,-2180.08269593546,513.099870877226
0.775000000000001,-2.24750320441077,-2182.54862840985,513.680247776029
0.776000000000001,-2.24750320441077,-2185.01394292019,514.260479232058
0.777000000000001,-2.24750320441077,-2187.47863723974,514.840564721232
0.778000000000001,-2.24750320441077,-2189.94270913286,515.420503717378
0.779000000000001,-2.24750320441077,-2192.40615635497,516.000295692211
0.780000000000001,-2.24750320441077,-2194.86897665247,516.579940115332
0.781000000000001,-2.24750320441077,-2197.33116776273,517.159436454211
0.782000000000001,-2.24750320441077,-2199.79272741402,517.738784174179
0.783000000000001,-2.24750320441077,-2202.25365332547,518.317982738416
0.784000000000001,-2.24750320441077,-2204.71394320704,518.897031607941
0.785000000000001,-2.24750320441077,-2207.17359475943,519.475930241599
0.786000000000001,-2.24750320441077,-2209.6326056741,520.054678096051
0.787000000000001,-2.24750320441077,-2212.09097363313,520.633274625762
